artist,header,locations-name,locations-url,products,time,title,searchresultURL,listened,skipped,searched
ODESZA,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:23:57.242Z,A Moment Apart,,True,False,False
Illenium,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:20:02.954Z,Taking Me Higher,,True,False,False
Louis The Child,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:17:18.189Z,From Here,,True,False,False
Jai Wolf,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:13:55.127Z,Like It's Over (feat. MNDR),,True,False,False
Trinix,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:08:36.229Z,Never Enough,,True,False,False
Melvv,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:05:06.186Z,Vibe,,True,False,False
Flume,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T05:02:42.032Z,Hyperreal (feat. Kučka),,True,False,False
ODESZA,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-12-18T04:58:28.066Z,Bloom,,True,False,False
Flume,Google Play Music,,,Google Play Music,2018-11-30T16:13:50.661Z,Sleepless (feat. Jezzabell Doran),,False,True,False
Flume,Google Play Music,From your current location,"https://google.com/maps?q=17.455488,78.302834",Google Play Music,2018-11-30T16:13:50.587Z,Sleepless (feat. Jezzabell Doran),,True,False,False
ODESZA,Google Play Music,From your current location,"https://google.com/maps?q=17.455488,78.302834",Google Play Music,2018-11-30T16:10:30.212Z,Show Me,,True,False,False
Louis The Child,Google Play Music,From your current location,"https://google.com/maps?q=17.455488,78.302834",Google Play Music,2018-11-30T16:06:51.712Z,Fire,,True,False,False
Jai Wolf,Google Play Music,From your current location,"https://google.com/maps?q=17.455488,78.302834",Google Play Music,2018-11-30T16:03:19.844Z,Drive (feat. Chain Gang of 1974),,True,False,False
Flume,Google Play Music,,,Google Play Music,2018-11-30T15:27:24.900Z,Sleepless (feat. Jezzabell Doran),,False,True,False
ODESZA,Google Play Music,,,Google Play Music,2018-11-30T15:27:21.349Z,Show Me,,False,True,False
Louis The Child,Google Play Music,From your current location,"https://google.com/maps?q=17.437860,78.380363",Google Play Music,2018-11-30T15:27:20.268Z,Fire,,True,False,False
DJ Snake,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-22T05:25:43.339Z,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",,True,False,False
Trinix,Google Play Music,,,Google Play Music,2018-11-15T04:01:09.361Z,No Sleep,,True,False,False
IHF,Google Play Music,,,Google Play Music,2018-11-15T03:58:04.772Z,Floating,,False,True,False
alt-J,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:21:34.180Z,Left Hand Free,,True,False,False
MS MR,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:18:40.406Z,Salty Sweet,,True,False,False
Birdy,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:15:29.587Z,Terrible Love,,True,False,False
The Lumineers,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:10:45.569Z,Submarines,,True,False,False
Of Monsters and Men,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:08:04.191Z,Lakehouse,,True,False,False
Chvrches,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T16:02:21.568Z,Dead Air,,True,False,False
Lorde,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T15:59:07.110Z,Royals,,True,False,False
The Naked And Famous,Google Play Music,From your current location,"https://google.com/maps?q=17.442345,78.375244",Google Play Music,2018-11-14T15:55:57.046Z,Punching In A Dream,,True,False,False
